SURVEY: 
SNID: SN2000fa   
SNTYPE: 10   #Ia
FILTERS: VzuIiRgrBU
REDSHIFT_FINAL: 0.0191409 +- 0
PEAKMJD: 51891.82074784887
RA: 7.2583 deg
DECL: 23.4284 deg
IAUC: UNKNOWN
MWEBV: 0.00

NOBS: 107
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR


OBS: 51879.470000   R   NULL   11220.184543   568.743968   17.375000   0.055000
OBS: 51879.470000   I   NULL   11045.871840   1522.990410   17.392000   0.149000
OBS: 51879.470000   V   NULL   10864.256236   691.134914   17.410000   0.069000
OBS: 51879.470000   B   NULL   8203.515443   499.137785   17.715000   0.066000
OBS: 51880.440000   I   NULL   14547.889712   1059.929133   17.093000   0.079000
OBS: 51880.440000   R   NULL   13390.598855   320.709098   17.183000   0.026000
OBS: 51880.440000   V   NULL   12246.161993   203.038326   17.280000   0.018000
OBS: 51880.440000   B   NULL   10423.174294   259.242725   17.455000   0.027000
OBS: 51881.430000   I   NULL   19971.008660   1344.277115   16.749000   0.073000
OBS: 51881.430000   R   NULL   18030.177409   448.442306   16.860000   0.027000
OBS: 51881.430000   V   NULL   14873.048700   287.697169   17.069000   0.021000
OBS: 51881.430000   B   NULL   14229.839446   314.586417   17.117000   0.024000
OBS: 51882.430000   I   NULL   25095.739637   2083.833178   16.501000   0.090000
OBS: 51882.430000   R   NULL   22615.177461   645.841380   16.614000   0.031000
OBS: 51882.430000   V   NULL   18758.581738   570.282306   16.817000   0.033000
OBS: 51882.430000   B   NULL   16158.461209   550.812081   16.979000   0.037000
OBS: 51887.350000   R   NULL   39554.873506   910.905335   16.007000   0.025000
OBS: 51887.350000   I   NULL   38583.355991   2525.793413   16.034000   0.071000
OBS: 51887.350000   B   NULL   33052.171687   1004.823764   16.202000   0.033000
OBS: 51887.350000   V   NULL   32900.310752   757.658057   16.207000   0.025000
OBS: 51894.420000   R   NULL   45877.527055   591.591285   15.846000   0.014000
OBS: 51894.420000   V   NULL   39994.474976   552.570456   15.995000   0.015000
OBS: 51894.420000   B   NULL   33853.221282   623.652279   16.176000   0.020000
OBS: 51894.420000   I   NULL   32930.627018   1304.711133   16.206000   0.043000
OBS: 51895.380000   R   NULL   43171.784447   477.166767   15.912000   0.012000
OBS: 51895.380000   V   NULL   38124.135110   667.209971   16.047000   0.019000
OBS: 51895.380000   B   NULL   32389.183500   447.494458   16.224000   0.015000
OBS: 51895.380000   I   NULL   31915.378551   1176.204907   16.240000   0.040000
OBS: 51896.380000   R   NULL   43571.248050   441.447955   15.902000   0.011000
OBS: 51896.380000   V   NULL   36982.817978   510.960892   16.080000   0.015000
OBS: 51896.380000   I   NULL   31535.520246   1307.599131   16.253000   0.045000
OBS: 51896.380000   B   NULL   31246.400858   402.922729   16.263000   0.014000
OBS: 51897.390000   R   NULL   41725.351123   461.179706   15.949000   0.012000
OBS: 51897.390000   V   NULL   38940.363388   502.136472   16.024000   0.014000
OBS: 51897.390000   I   NULL   32181.034431   1275.012281   16.231000   0.043000
OBS: 51897.390000   B   NULL   30760.968147   680.048625   16.280000   0.024000
